detector_type,descriptor_type,frame no,no_keypoints_frame,no_keypoints_roi,detector_time_ms,descriptor_time_ms,no_matched_points,matching_time_ms
ORB,BRIEF,0,500,92,7.86049600,0.55920100,0,0.00000000
ORB,BRIEF,1,500,102,7.42485200,0.56029400,49,0.28490300
ORB,BRIEF,2,500,106,8.06794200,0.59213800,43,0.52140300
ORB,BRIEF,3,500,113,7.95615300,0.60063700,45,0.33768300
ORB,BRIEF,4,500,109,7.95956300,0.61584600,59,0.35046400
ORB,BRIEF,5,500,125,8.03810400,0.69056000,53,0.38273200
ORB,BRIEF,6,500,130,7.96148100,0.67893500,78,0.44226100
ORB,BRIEF,7,500,129,8.01316900,0.66442600,68,0.46244100
ORB,BRIEF,8,500,127,8.04597500,0.63885900,84,0.44787800
ORB,BRIEF,9,500,128,8.03281700,0.64644500,66,0.43374600

ORB,ORB,0,500,92,8.07199700,4.77280100,0,0.00000000
ORB,ORB,1,500,102,7.48952800,4.80298500,67,0.34175900
ORB,ORB,2,500,106,7.95030600,4.82032600,70,0.34948900
ORB,ORB,3,500,113,7.91930500,4.88289000,72,0.40171900
ORB,ORB,4,500,109,7.95169300,4.89018400,84,0.39709300
ORB,ORB,5,500,125,7.96004400,4.81101700,91,0.43043600
ORB,ORB,6,500,130,8.14275500,4.87415300,101,0.50864900
ORB,ORB,7,500,129,8.33817700,4.77624600,92,0.51401200
ORB,ORB,8,500,127,8.21507900,4.94006800,93,0.49987500
ORB,ORB,9,500,128,8.20450300,4.93295700,93,0.50452700

ORB,FREAK,0,500,92,8.43298600,50.12782300,0,0.00000000
ORB,FREAK,1,500,102,8.39175600,46.30798900,42,0.18289000
ORB,FREAK,2,500,106,8.23461300,46.34063000,36,0.18963400
ORB,FREAK,3,500,113,8.00289400,47.46148300,44,0.20067600
ORB,FREAK,4,500,109,8.12774600,46.36582900,47,0.20889600
ORB,FREAK,5,500,125,8.37423000,50.40750900,44,0.22667600
ORB,FREAK,6,500,130,7.99332900,46.92202600,51,0.19342800
ORB,FREAK,7,500,129,8.00702700,49.87320500,52,0.23485500
ORB,FREAK,8,500,127,8.37870200,47.09908900,48,0.25634900
ORB,FREAK,9,500,128,8.08906100,46.69134700,56,0.24264100

ORB,AKAZE,0,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,1,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,2,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,3,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,4,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,5,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,6,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,7,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,8,0,0,0.00000000,0.00000000,0,0.00000000
ORB,AKAZE,9,0,0,0.00000000,0.00000000,0,0.00000000

ORB,SIFT,0,500,92,8.13108700,58.64332800,0,0.00000000
ORB,SIFT,1,500,102,8.92387800,66.83331900,67,0.47522400
ORB,SIFT,2,500,106,7.94506000,65.77644300,79,0.51689300
ORB,SIFT,3,500,113,8.37671000,70.56257300,78,0.52205700
ORB,SIFT,4,500,109,8.33167400,61.82860200,79,0.55053700
ORB,SIFT,5,500,125,8.00578900,64.99619700,82,0.62333500
ORB,SIFT,6,500,130,7.90066500,70.81960000,95,0.78447800
ORB,SIFT,7,500,129,8.21165300,74.12298600,95,0.78004200
ORB,SIFT,8,500,127,8.30153800,77.98878000,94,0.69721700
ORB,SIFT,9,500,128,8.46325100,73.23423300,94,0.69180200

AKAZE,BRISK,0,1351,166,110.82804400,2.87537800,0,0.00000000
AKAZE,BRISK,1,1327,157,107.24790500,2.82703600,137,0.73428100
AKAZE,BRISK,2,1311,161,106.36638500,2.90191000,125,0.74302700
AKAZE,BRISK,3,1351,155,104.93598400,2.80808100,129,0.71346500
AKAZE,BRISK,4,1360,163,107.54525700,1.94228100,129,0.71754200
AKAZE,BRISK,5,1347,164,107.98906300,2.00409800,131,0.77798600
AKAZE,BRISK,6,1363,173,106.69190500,2.97094900,132,0.79931200
AKAZE,BRISK,7,1331,175,109.68218900,2.99717400,142,0.84767800
AKAZE,BRISK,8,1357,177,104.93506900,3.01765200,146,0.91715200
AKAZE,BRISK,9,1331,179,106.93943500,2.20689000,144,0.84287000

AKAZE,BRIEF,0,1351,166,109.19137500,1.85063200,0,0.00000000
AKAZE,BRIEF,1,1327,157,131.12448500,1.78104900,141,0.65802000
AKAZE,BRIEF,2,1311,161,106.84659300,1.19530100,134,0.65091100
AKAZE,BRIEF,3,1351,155,107.39847200,0.82955300,131,0.72042700
AKAZE,BRIEF,4,1360,163,110.77057200,0.87525800,130,0.67345100
AKAZE,BRIEF,5,1347,164,110.84668900,0.85398500,134,1.19626700
AKAZE,BRIEF,6,1363,173,104.99389000,1.83820300,146,0.69927500
AKAZE,BRIEF,7,1331,175,105.51344000,1.93863600,150,0.75415900
AKAZE,BRIEF,8,1357,177,104.38002700,1.82639700,148,0.75623400
AKAZE,BRIEF,9,1331,179,111.91383100,1.79435900,152,0.93871800

AKAZE,ORB,0,1351,166,104.28762800,3.18655300,0,0.00000000
AKAZE,ORB,1,1327,157,102.10866000,3.67561700,131,0.70118500
AKAZE,ORB,2,1311,161,107.15638100,3.75497100,129,0.68320800
AKAZE,ORB,3,1351,155,107.41665600,3.12757600,127,0.67174300
AKAZE,ORB,4,1360,163,105.87981100,3.26942500,117,0.66835600
AKAZE,ORB,5,1347,164,108.35727600,3.40921900,130,0.72743400
AKAZE,ORB,6,1363,173,109.25542200,3.68030800,131,0.76643400
AKAZE,ORB,7,1331,175,106.00020300,3.72940600,137,0.77611700
AKAZE,ORB,8,1357,177,105.54095700,3.16647000,135,0.77880000
AKAZE,ORB,9,1331,179,104.88008600,4.02938600,145,0.78798900

AKAZE,FREAK,0,1351,166,107.27592200,52.88877100,0,0.00000000
AKAZE,FREAK,1,1327,157,103.05803300,48.03402400,126,0.73352400
AKAZE,FREAK,2,1311,161,108.09506800,52.54213500,129,0.71285700
AKAZE,FREAK,3,1351,155,100.98741400,47.88928700,127,0.67646700
AKAZE,FREAK,4,1360,163,110.10205700,53.27869000,121,1.02420600
AKAZE,FREAK,5,1347,164,101.49056200,47.49814100,122,0.72301600
AKAZE,FREAK,6,1363,173,110.89375400,47.29293000,133,0.86904900
AKAZE,FREAK,7,1331,175,105.14979700,52.73284600,144,0.86957200
AKAZE,FREAK,8,1357,177,100.17522000,52.85515600,147,0.81601300
AKAZE,FREAK,9,1331,179,100.50884600,52.20595800,138,0.88698500

AKAZE,AKAZE,0,1351,166,100.88560500,87.24381500,0,0.00000000
AKAZE,AKAZE,1,1327,157,98.87931100,87.81374300,138,0.85710800
AKAZE,AKAZE,2,1311,161,107.48273700,97.32355100,138,0.86159300
AKAZE,AKAZE,3,1351,155,105.70884800,96.56306500,133,0.81332100
AKAZE,AKAZE,4,1360,163,106.99404100,99.12698800,127,0.84378400
AKAZE,AKAZE,5,1347,164,107.61531700,90.30304600,129,0.88298500
AKAZE,AKAZE,6,1363,173,108.31135800,87.23063900,146,0.88370300
AKAZE,AKAZE,7,1331,175,98.56633700,85.17402500,147,0.93761400
AKAZE,AKAZE,8,1357,177,95.24695400,87.77713000,151,0.96439200
AKAZE,AKAZE,9,1331,179,106.12674500,99.67806200,150,1.12114700

AKAZE,SIFT,0,1351,166,105.32899400,29.57143500,0,0.00000000
AKAZE,SIFT,1,1327,157,95.10392300,29.41546800,134,1.06966800
AKAZE,SIFT,2,1311,161,95.77204400,29.30951700,134,1.07341000
AKAZE,SIFT,3,1351,155,93.33322000,29.12460900,130,1.03982800
AKAZE,SIFT,4,1360,163,106.33546500,30.87443900,136,1.05197300
AKAZE,SIFT,5,1347,164,103.54938000,30.04538300,137,1.12358400
AKAZE,SIFT,6,1363,173,97.78718600,30.74293100,147,1.15616600
AKAZE,SIFT,7,1331,175,101.94940100,31.49594400,147,1.30259300
AKAZE,SIFT,8,1357,177,97.05136800,31.62902000,154,1.22494900
AKAZE,SIFT,9,1331,179,108.92148500,41.12430300,151,1.28847700

SIFT,BRISK,0,1438,138,159.56214400,1.76240300,0,0.00000000
SIFT,BRISK,1,1371,132,157.68656700,1.62739400,64,0.60222900
SIFT,BRISK,2,1380,124,161.36826600,1.57325200,66,0.72981200
SIFT,BRISK,3,1335,137,163.21885300,1.79876000,62,0.54139900
SIFT,BRISK,4,1305,134,156.22971400,1.67727700,66,0.53109100
SIFT,BRISK,5,1370,140,156.67263100,1.80185700,59,0.58037100
SIFT,BRISK,6,1396,137,159.02849000,1.70440100,64,0.55046600
